inspection_id,date,part_number,supplier_id,lot_number,quantity_received,quantity_inspected,quantity_failed,defect_type,defect_category,inspection_stage,inspector,disposition,ncr_id,cost_impact
INS-00001,2023-04-25,THRM-011,SUP-005,LOT-658,16,15,1,Delamination,Composite,In-Process Inspection,QE-Torres,Rework,NCR-2679,6.49
INS-00002,2024-03-08,FAST-010,SUP-008,LOT-323,18,4,0,,,Receiving Inspection,QE-Patel,Accept,,0.0
INS-00003,2024-09-08,PYLD-009,SUP-001,LOT-990,16,12,1,Solder Joint Failure,Electrical,End-of-Line Test,QE-Torres,Rework,,79.23
INS-00004,2023-06-13,GPS-013,SUP-004,LOT-489,188,155,6,Incorrect Part Number,Documentation,Final Assembly,QE-Torres,Rework,NCR-6514,760.77
INS-00005,2023-12-19,BCON-006,SUP-004,LOT-487,164,74,8,Connector Misalignment,Assembly,Receiving Inspection,QE-Torres,Reject,,71.97
INS-00006,2023-10-28,PYLD-009,SUP-001,LOT-181,170,134,2,Corrosion,Cosmetic,In-Process Inspection,QE-Patel,Reject,NCR-4733,306.92
INS-00007,2023-04-14,FC-014,SUP-004,LOT-818,107,61,9,Crack / Fracture,Composite,Final Assembly,QE-Torres,Rework,NCR-4432,4140.79
INS-00008,2024-10-12,FAST-010,SUP-008,LOT-267,53,47,0,,,In-Process Inspection,QE-Brooks,Accept,,0.0
INS-00009,2023-10-04,WING-007,SUP-006,LOT-510,173,99,2,Wrong Material Cert,Documentation,Final Assembly,QE-Nguyen,Rework,NCR-1525,886.24
INS-00010,2023-08-05,ESC-002,SUP-004,LOT-758,155,150,11,Thread Damage,Dimensional,Final Assembly,QE-Brooks,Rework,,1704.47
INS-00011,2023-09-29,PROP-003,SUP-006,LOT-508,45,26,1,Thread Damage,Dimensional,Final Assembly,QE-Nguyen,Reject,,103.3
INS-00012,2023-05-22,MOTOR-004,SUP-007,LOT-532,140,98,5,Surface Finish,Cosmetic,Receiving Inspection,QE-Osei,Rework,NCR-3621,989.98
INS-00013,2024-01-30,ESC-002,SUP-004,LOT-838,107,102,10,Crack / Fracture,Composite,Final Assembly,QE-Torres,Reject,,627.55
INS-00014,2024-07-03,THRM-011,SUP-005,LOT-839,78,68,5,Wrong Material Cert,Documentation,Final Assembly,QE-Nguyen,Rework,NCR-3591,24.63
INS-00015,2023-07-02,PYLD-009,SUP-001,LOT-482,139,47,1,Electrical Short,Electrical,Final Assembly,QE-Patel,Reject,,67.34
INS-00016,2024-06-27,PYLD-009,SUP-001,LOT-119,10,7,0,,,End-of-Line Test,QE-Torres,Accept,,0.0
INS-00017,2024-01-07,LARM-015,SUP-010,LOT-597,88,52,3,Dimensional Out-of-Tolerance,Dimensional,In-Process Inspection,QE-Torres,Reject,,130.9
INS-00018,2024-06-29,GPS-013,SUP-004,LOT-533,42,18,1,Wrong Material Cert,Documentation,End-of-Line Test,QE-Patel,Reject,NCR-9645,404.08
INS-00019,2024-07-06,LARM-015,SUP-010,LOT-548,196,100,7,Thread Damage,Dimensional,Final Assembly,QE-Osei,Use-As-Is,,818.89
