inspection_id,part_serial_number,lot_number,supplier_id,feature_id,gdandt_type,measured_x,measured_y,measured_value,nominal_value,nominal_x,nominal_y,tolerance,measurement_unit,inspector,inspection_date
INS-GDT-00001,MMB-0001,LOT-201,SUP-003,HOLE_1_POSITION,position,19.9725,20.0258,0.0754,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00002,MMB-0001,LOT-201,SUP-003,HOLE_2_POSITION,position,80.0237,20.0684,0.1448,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00003,MMB-0001,LOT-201,SUP-003,HOLE_3_POSITION,position,19.9633,59.995,0.074,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00004,MMB-0001,LOT-201,SUP-003,HOLE_4_POSITION,position,79.8793,59.9704,0.2485,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00005,MMB-0001,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0309,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00006,MMB-0001,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0271,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00007,MMB-0001,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.0732,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00008,MMB-0001,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.1088,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00009,MMB-0001,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,5.0004,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00010,MMB-0001,LOT-201,SUP-003,SLOT_WIDTH,width,,,7.9972,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00011,MMB-0001,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,5.9917,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00012,MMB-0002,LOT-201,SUP-003,HOLE_1_POSITION,position,19.9941,20.0111,0.0251,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00013,MMB-0002,LOT-201,SUP-003,HOLE_2_POSITION,position,79.9616,20.0071,0.0781,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
