part_serial_number,lot_number,supplier_id,part_disposition,feature_id,feature_name,gdandt_type,criticality,nominal_x,nominal_y,measured_x,measured_y,measured_value,nominal_value,tolerance,lower_limit,upper_limit,deviation,margin,margin_pct,result,datum_reference,inspector,inspection_date
MMB-0001,LOT-201,SUP-003,FAIL,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,19.9725,20.0258,0.0754,,0.2,,,0.07542,0.12458,62.3,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,80.0237,20.0684,0.1448,,0.2,,,0.14478,0.05522,27.6,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9633,59.995,0.074,,0.2,,,0.07408,0.12592,63.0,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,79.8793,59.9704,0.2485,,0.2,,,0.24855,-0.04855,-24.3,FAIL,A|B|C,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0309,0.0,0.05,,,0.0309,0.0191,38.2,PASS,A,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.0271,0.0,0.1,,,0.0271,0.0729,72.9,PASS,A,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.0732,0.0,0.15,,,0.0732,0.0768,51.2,PASS,A,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.1088,0.0,0.3,,,0.1088,0.1912,63.7,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,5.0004,5.0,0.05,4.95,5.05,0.0004,0.0496,99.2,PASS,,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,7.9972,8.0,0.1,7.9,8.1,0.0028,0.0972,97.2,PASS,,QE-Nguyen,2024-02-15
MMB-0001,LOT-201,SUP-003,FAIL,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,5.9917,6.0,0.1,5.9,6.1,0.0083,0.0917,91.7,PASS,,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,19.9941,20.0111,0.0251,,0.2,,,0.02514,0.17486,87.4,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,79.9616,20.0071,0.0781,,0.2,,,0.0781,0.1219,61.0,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9986,60.0454,0.0908,,0.2,,,0.09084,0.10916,54.6,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,79.9937,59.9685,0.0643,,0.2,,,0.06425,0.13575,67.9,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0537,0.0,0.05,,,0.0537,-0.0037,-7.4,FAIL,A,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.0058,0.0,0.1,,,0.0058,0.0942,94.2,PASS,A,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.1148,0.0,0.15,,,0.1148,0.0352,23.5,PASS,A,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.1745,0.0,0.3,,,0.1745,0.1255,41.8,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,4.978,5.0,0.05,4.95,5.05,0.022,0.028,56.0,PASS,,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,8.0439,8.0,0.1,7.9,8.1,0.0439,0.0561,56.1,PASS,,QE-Nguyen,2024-02-15
MMB-0002,LOT-201,SUP-003,FAIL,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,6.0143,6.0,0.1,5.9,6.1,0.0143,0.0857,85.7,PASS,,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,19.9807,19.9421,0.1222,,0.2,,,0.12206,0.07794,39.0,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,80.0283,19.9648,0.0904,,0.2,,,0.09033,0.10967,54.8,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9449,59.9859,0.1138,,0.2,,,0.11375,0.08625,43.1,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,79.9723,60.004,0.056,,0.2,,,0.05597,0.14403,72.0,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0224,0.0,0.05,,,0.0224,0.0276,55.2,PASS,A,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.091,0.0,0.1,,,0.091,0.009,9.0,BORDERLINE,A,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.0979,0.0,0.15,,,0.0979,0.0521,34.7,PASS,A,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.108,0.0,0.3,,,0.108,0.192,64.0,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,4.9819,5.0,0.05,4.95,5.05,0.0181,0.0319,63.8,PASS,,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,8.0457,8.0,0.1,7.9,8.1,0.0457,0.0543,54.3,PASS,,QE-Nguyen,2024-02-15
MMB-0003,LOT-201,SUP-003,MRB REVIEW,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,6.0246,6.0,0.1,5.9,6.1,0.0246,0.0754,75.4,PASS,,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,20.1328,20.0132,0.2669,,0.2,,,0.26691,-0.06691,-33.5,FAIL,A|B|C,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,80.0821,20.023,0.1705,,0.2,,,0.17052,0.02948,14.7,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,20.0034,59.9396,0.121,,0.2,,,0.12099,0.07901,39.5,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,80.0433,59.9494,0.1332,,0.2,,,0.1332,0.0668,33.4,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0173,0.0,0.05,,,0.0173,0.0327,65.4,PASS,A,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.0537,0.0,0.1,,,0.0537,0.0463,46.3,PASS,A,QE-Nguyen,2024-02-15
