ncr_id,date_opened,date_closed,part_number,supplier_id,defect_type,severity,status,owner,root_cause_category,corrective_action_status
NCR-1001,2024-02-23,,GPS-013,SUP-004,Incorrect Part Number,Minor,CAPA In Progress,QE-Brooks,Measurement Error,Complete
NCR-1002,2023-03-13,2023-03-27,MMB-001,SUP-003,Electrical Short,Critical,Closed,QE-Nguyen,Training Gap,Not Started
NCR-1003,2023-10-24,,LARM-015,SUP-010,Missing Hardware,Major,Under Review,QE-Brooks,,Complete
NCR-1004,2024-09-03,,FAST-010,SUP-008,Electrical Short,Minor,RCA Complete,QE-Patel,Design Deficiency,In Progress
NCR-1005,2024-01-19,2024-02-19,PROP-003,SUP-006,Solder Joint Failure,Major,Closed,QE-Brooks,Supplier Non-Conformance,Not Started
NCR-1006,2024-03-26,2024-04-27,FAST-010,SUP-008,Thread Damage,Major,Closed,QE-Osei,Process Deviation,Complete
NCR-1007,2023-12-12,2023-12-19,LARM-015,SUP-010,Solder Joint Failure,Major,Closed,QE-Torres,Measurement Error,Complete
NCR-1008,2023-10-17,2023-10-29,MOTOR-004,SUP-007,Solder Joint Failure,Minor,Closed,QE-Brooks,Incoming Material,Not Started
NCR-1009,2024-02-24,,MMB-001,SUP-003,Crack / Fracture,Major,CAPA In Progress,QE-Patel,Process Deviation,In Progress
NCR-1010,2023-10-06,2023-10-18,MMB-001,SUP-003,Delamination,Major,Closed,QE-Brooks,Supplier Non-Conformance,Complete
NCR-1011,2023-12-04,,WHAR-005,SUP-005,Contamination,Minor,Under Review,QE-Brooks,,Not Started
NCR-1012,2023-05-28,,WING-007,SUP-006,Documentation Missing,Critical,Open,QE-Osei,,Not Started
NCR-1013,2023-01-04,,MMB-001,SUP-003,Connector Misalignment,Major,CAPA In Progress,QE-Brooks,Incoming Material,Complete
NCR-1014,2023-11-26,,LARM-015,SUP-010,Missing Hardware,Major,Open,QE-Brooks,,Not Started
NCR-1015,2023-09-30,,BATT-008,SUP-009,Dimensional Out-of-Tolerance,Major,Containment Complete,QE-Torres,Design Deficiency,Complete
NCR-1016,2023-07-10,2023-07-18,FRAME-012,SUP-001,Dimensional Out-of-Tolerance,Major,Closed,QE-Osei,Measurement Error,Complete
NCR-1017,2023-02-05,2023-02-12,WHAR-005,SUP-005,Electrical Short,Minor,Closed,QE-Brooks,Supplier Non-Conformance,Complete
NCR-1018,2024-01-07,,MMB-001,SUP-003,Wrong Material Cert,Critical,CAPA In Progress,QE-Torres,Supplier Non-Conformance,Not Started
NCR-1019,2024-03-15,,MOTOR-004,SUP-007,Documentation Missing,Minor,Under Review,QE-Torres,,Not Started
NCR-1020,2023-03-20,2023-04-02,FAST-010,SUP-008,Thread Damage,Minor,Closed,QE-Osei,Training Gap,Not Started
NCR-1021,2024-09-30,2024-11-07,PYLD-009,SUP-001,Electrical Short,Minor,Closed,QE-Patel,Process Deviation,Not Started
NCR-1022,2024-01-02,,PYLD-009,SUP-001,Contamination,Major,Containment Complete,QE-Osei,Process Deviation,Complete
NCR-1023,2024-03-24,2024-04-19,GPS-013,SUP-004,Electrical Short,Major,Closed,QE-Nguyen,Measurement Error,Not Started
NCR-1024,2024-03-02,,PROP-003,SUP-006,Contamination,Critical,Open,QE-Osei,,Not Started
NCR-1025,2023-07-05,,THRM-011,SUP-005,Contamination,Major,CAPA In Progress,QE-Patel,Process Deviation,In Progress
NCR-1026,2023-09-03,2023-09-06,PROP-003,SUP-006,Electrical Short,Major,Closed,QE-Patel,Design Deficiency,In Progress
NCR-1027,2023-05-12,2023-05-30,PYLD-009,SUP-001,Solder Joint Failure,Major,Closed,QE-Brooks,Measurement Error,In Progress
NCR-1028,2023-05-31,2023-06-19,ESC-002,SUP-004,Missing Hardware,Critical,Closed,QE-Brooks,Training Gap,Not Started
NCR-1029,2023-08-17,,MMB-001,SUP-003,Documentation Missing,Major,Under Review,QE-Brooks,,In Progress
NCR-1030,2024-09-17,,MMB-001,SUP-003,Crack / Fracture,Minor,RCA Complete,QE-Patel,Incoming Material,Not Started
NCR-1031,2023-07-30,2023-09-07,LARM-015,SUP-010,Crack / Fracture,Major,Closed,QE-Osei,Incoming Material,Complete
NCR-1032,2024-07-27,,ESC-002,SUP-004,Electrical Short,Major,Open,QE-Patel,,Not Started
NCR-1033,2023-03-20,2023-04-01,PROP-003,SUP-006,Insulation Damage,Minor,Closed,QE-Osei,Process Deviation,Complete
NCR-1034,2024-07-21,,WING-007,SUP-006,Thread Damage,Minor,Open,QE-Patel,,Not Started
NCR-1035,2023-12-25,,WING-007,SUP-006,Delamination,Critical,CAPA In Progress,QE-Osei,Measurement Error,Not Started
NCR-1036,2024-09-06,2024-10-11,FRAME-012,SUP-001,Crack / Fracture,Minor,Closed,QE-Torres,Design Deficiency,In Progress
NCR-1037,2023-12-04,,GPS-013,SUP-004,Documentation Missing,Minor,Open,QE-Torres,,Not Started
NCR-1038,2024-06-19,,FRAME-012,SUP-001,Incorrect Part Number,Minor,Open,QE-Brooks,,Not Started
NCR-1039,2024-04-26,2024-05-08,ESC-002,SUP-004,Delamination,Major,Closed,QE-Torres,Training Gap,Not Started
NCR-1040,2024-12-24,,FC-014,SUP-004,Crack / Fracture,Major,CAPA In Progress,QE-Nguyen,Measurement Error,Not Started
NCR-1041,2024-04-06,,MOTOR-004,SUP-007,Crack / Fracture,Major,Open,QE-Osei,,Not Started
NCR-1042,2024-12-10,,PROP-003,SUP-006,Crack / Fracture,Minor,RCA Complete,QE-Torres,Design Deficiency,Not Started
NCR-1043,2023-07-07,2023-08-04,PROP-003,SUP-006,Electrical Short,Minor,Closed,QE-Osei,Tooling Wear,In Progress
NCR-1044,2024-06-17,,FAST-010,SUP-008,Solder Joint Failure,Major,Open,QE-Nguyen,,Not Started
NCR-1045,2024-04-30,2024-05-25,WING-007,SUP-006,Crack / Fracture,Minor,Closed,QE-Torres,Process Deviation,Complete
NCR-1046,2023-06-04,,LARM-015,SUP-010,Insulation Damage,Major,Containment Complete,QE-Torres,Incoming Material,Complete
NCR-1047,2024-02-06,2024-03-07,FRAME-012,SUP-001,Solder Joint Failure,Major,Closed,QE-Brooks,Design Deficiency,Complete
NCR-1048,2023-08-06,2023-08-26,BATT-008,SUP-009,Solder Joint Failure,Major,Closed,QE-Patel,Incoming Material,In Progress
NCR-1049,2023-06-15,2023-07-06,PROP-003,SUP-006,Documentation Missing,Major,Closed,QE-Patel,Training Gap,Complete
NCR-1050,2024-03-14,,MMB-001,SUP-003,Crack / Fracture,Major,RCA Complete,QE-Nguyen,Supplier Non-Conformance,Not Started
NCR-1051,2023-12-21,2024-01-22,MOTOR-004,SUP-007,Delamination,Major,Closed,QE-Torres,Tooling Wear,In Progress
NCR-1052,2024-08-27,2024-09-11,GPS-013,SUP-004,Missing Hardware,Major,Closed,QE-Osei,Training Gap,Complete
NCR-1053,2024-06-01,2024-06-27,LARM-015,SUP-010,Incorrect Part Number,Minor,Closed,QE-Torres,Design Deficiency,Complete
NCR-1054,2023-06-15,2023-06-20,WING-007,SUP-006,Solder Joint Failure,Minor,Closed,QE-Patel,Measurement Error,Not Started
NCR-1055,2024-02-01,2024-03-04,FAST-010,SUP-008,Dimensional Out-of-Tolerance,Minor,Closed,QE-Nguyen,Supplier Non-Conformance,Complete
NCR-1056,2023-11-30,2024-01-03,FAST-010,SUP-008,Crack / Fracture,Minor,Closed,QE-Patel,Incoming Material,Not Started
NCR-1057,2023-05-03,2023-05-31,PROP-003,SUP-006,Missing Hardware,Minor,Closed,QE-Patel,Process Deviation,Complete
NCR-1058,2024-06-29,2024-07-16,BCON-006,SUP-004,Insulation Damage,Major,Closed,QE-Osei,Measurement Error,Not Started
NCR-1059,2023-09-28,2023-10-11,ESC-002,SUP-004,Solder Joint Failure,Major,Closed,QE-Brooks,Design Deficiency,In Progress
NCR-1060,2024-02-12,,WHAR-005,SUP-005,Insulation Damage,Minor,RCA Complete,QE-Osei,Design Deficiency,In Progress
NCR-1061,2023-09-11,2023-10-18,WHAR-005,SUP-005,Thread Damage,Minor,Closed,QE-Patel,Design Deficiency,In Progress
NCR-1062,2024-06-06,2024-07-12,WHAR-005,SUP-005,Thread Damage,Major,Closed,QE-Torres,Design Deficiency,Complete
NCR-1063,2023-10-13,,FAST-010,SUP-008,Wrong Material Cert,Major,Open,QE-Nguyen,,Not Started
NCR-1064,2023-09-19,2023-10-06,WHAR-005,SUP-005,Dimensional Out-of-Tolerance,Major,Closed,QE-Nguyen,Incoming Material,In Progress
NCR-1065,2024-10-24,,FC-014,SUP-004,Electrical Short,Minor,Under Review,QE-Nguyen,,In Progress
NCR-1066,2024-03-06,2024-04-07,GPS-013,SUP-004,Contamination,Minor,Closed,QE-Patel,Tooling Wear,In Progress
NCR-1067,2024-02-27,,GPS-013,SUP-004,Incorrect Part Number,Major,Under Review,QE-Osei,,In Progress
NCR-1068,2023-06-01,2023-06-25,WING-007,SUP-006,Insulation Damage,Minor,Closed,QE-Torres,Process Deviation,Complete
NCR-1069,2023-11-26,,GPS-013,SUP-004,Insulation Damage,Major,RCA Complete,QE-Torres,Process Deviation,In Progress
NCR-1070,2023-12-27,2024-01-31,FRAME-012,SUP-001,Solder Joint Failure,Major,Closed,QE-Nguyen,Process Deviation,Complete
NCR-1071,2024-09-04,,ESC-002,SUP-004,Contamination,Major,RCA Complete,QE-Nguyen,Design Deficiency,Not Started
NCR-1072,2023-05-13,2023-06-15,WING-007,SUP-006,Missing Hardware,Major,Closed,QE-Nguyen,Incoming Material,In Progress
NCR-1073,2024-06-28,,PYLD-009,SUP-001,Crack / Fracture,Major,CAPA In Progress,QE-Nguyen,Training Gap,Complete
NCR-1074,2023-12-16,,PYLD-009,SUP-001,Contamination,Major,Containment Complete,QE-Brooks,Incoming Material,Complete
NCR-1075,2023-03-11,,WING-007,SUP-006,Delamination,Minor,Containment Complete,QE-Osei,Design Deficiency,Complete
NCR-1076,2023-12-27,2024-02-06,PROP-003,SUP-006,Wrong Material Cert,Major,Closed,QE-Nguyen,Training Gap,Complete
NCR-1077,2024-11-18,2024-11-28,LARM-015,SUP-010,Surface Finish,Critical,Closed,QE-Nguyen,Incoming Material,Not Started
NCR-1078,2023-10-15,,WING-007,SUP-006,Electrical Short,Major,Under Review,QE-Torres,,Complete
NCR-1079,2023-06-29,,FRAME-012,SUP-001,Electrical Short,Major,CAPA In Progress,QE-Torres,Process Deviation,Complete
NCR-1080,2024-03-25,2024-04-01,MMB-001,SUP-003,Documentation Missing,Minor,Closed,QE-Osei,Design Deficiency,Complete
NCR-1081,2023-05-19,,BATT-008,SUP-009,Contamination,Major,Containment Complete,QE-Nguyen,Supplier Non-Conformance,Not Started
NCR-1082,2023-12-26,,PROP-003,SUP-006,Missing Hardware,Major,RCA Complete,QE-Patel,Tooling Wear,Not Started
NCR-1083,2024-12-08,,MOTOR-004,SUP-007,Incorrect Part Number,Minor,RCA Complete,QE-Torres,Tooling Wear,Not Started
NCR-1084,2023-06-30,,PYLD-009,SUP-001,Missing Hardware,Major,CAPA In Progress,QE-Nguyen,Incoming Material,Complete
NCR-1085,2023-11-06,2023-12-04,PROP-003,SUP-006,Dimensional Out-of-Tolerance,Major,Closed,QE-Osei,Training Gap,In Progress
NCR-1086,2023-04-29,2023-06-04,LARM-015,SUP-010,Missing Hardware,Minor,Closed,QE-Nguyen,Process Deviation,In Progress
NCR-1087,2023-04-04,,MOTOR-004,SUP-007,Electrical Short,Major,Under Review,QE-Nguyen,,Complete
