measurement_id,date,subgroup_id,sample_number,part_number,feature_id,feature_name,measurement_type,nominal,lsl,usl,measured_value,unit,out_of_spec
SPC-MMB_HOLE_POSITION_TP-001-1,2024-01-03,1,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0914,mm,False
SPC-MMB_HOLE_POSITION_TP-001-2,2024-01-03,1,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0787,mm,False
SPC-MMB_HOLE_POSITION_TP-001-3,2024-01-03,1,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0634,mm,False
SPC-MMB_HOLE_POSITION_TP-001-4,2024-01-03,1,4,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0728,mm,False
SPC-MMB_HOLE_POSITION_TP-001-5,2024-01-03,1,5,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0933,mm,False
SPC-MMB_HOLE_POSITION_TP-002-1,2024-01-05,2,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0512,mm,False
SPC-MMB_HOLE_POSITION_TP-002-2,2024-01-05,2,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0743,mm,False
SPC-MMB_HOLE_POSITION_TP-002-3,2024-01-05,2,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0856,mm,False
SPC-MMB_HOLE_POSITION_TP-002-4,2024-01-05,2,4,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0311,mm,False
SPC-MMB_HOLE_POSITION_TP-002-5,2024-01-05,2,5,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0482,mm,False
SPC-MMB_HOLE_POSITION_TP-003-1,2024-01-07,3,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0619,mm,False
SPC-MMB_HOLE_POSITION_TP-003-2,2024-01-07,3,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1399,mm,False
SPC-MMB_HOLE_POSITION_TP-003-3,2024-01-07,3,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0559,mm,False
SPC-MMB_HOLE_POSITION_TP-003-4,2024-01-07,3,4,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.083,mm,False
SPC-MMB_HOLE_POSITION_TP-003-5,2024-01-07,3,5,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0486,mm,False
SPC-MMB_HOLE_POSITION_TP-004-1,2024-01-09,4,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0578,mm,False
SPC-MMB_HOLE_POSITION_TP-004-2,2024-01-09,4,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0346,mm,False
SPC-MMB_HOLE_POSITION_TP-004-3,2024-01-09,4,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1085,mm,False
SPC-MMB_HOLE_POSITION_TP-004-4,2024-01-09,4,4,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0386,mm,False
SPC-MMB_HOLE_POSITION_TP-004-5,2024-01-09,4,5,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1167,mm,False
SPC-MMB_HOLE_POSITION_TP-005-1,2024-01-11,5,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1014,mm,False
SPC-MMB_HOLE_POSITION_TP-005-2,2024-01-11,5,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0824,mm,False
SPC-MMB_HOLE_POSITION_TP-005-3,2024-01-11,5,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1179,mm,False
SPC-MMB_HOLE_POSITION_TP-005-4,2024-01-11,5,4,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1936,mm,False
SPC-MMB_HOLE_POSITION_TP-005-5,2024-01-11,5,5,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1017,mm,False
SPC-MMB_HOLE_POSITION_TP-006-1,2024-01-13,6,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0458,mm,False
SPC-MMB_HOLE_POSITION_TP-006-2,2024-01-13,6,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1371,mm,False
SPC-MMB_HOLE_POSITION_TP-006-3,2024-01-13,6,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0915,mm,False
SPC-MMB_HOLE_POSITION_TP-006-4,2024-01-13,6,4,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1589,mm,False
SPC-MMB_HOLE_POSITION_TP-006-5,2024-01-13,6,5,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0673,mm,False
SPC-MMB_HOLE_POSITION_TP-007-1,2024-01-15,7,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1299,mm,False
SPC-MMB_HOLE_POSITION_TP-007-2,2024-01-15,7,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.085,mm,False
SPC-MMB_HOLE_POSITION_TP-007-3,2024-01-15,7,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.178,mm,False
SPC-MMB_HOLE_POSITION_TP-007-4,2024-01-15,7,4,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0751,mm,False
SPC-MMB_HOLE_POSITION_TP-007-5,2024-01-15,7,5,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1901,mm,False
SPC-MMB_HOLE_POSITION_TP-008-1,2024-01-17,8,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1004,mm,False
SPC-MMB_HOLE_POSITION_TP-008-2,2024-01-17,8,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1146,mm,False
SPC-MMB_HOLE_POSITION_TP-008-3,2024-01-17,8,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1445,mm,False
SPC-MMB_HOLE_POSITION_TP-008-4,2024-01-17,8,4,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0574,mm,False
SPC-MMB_HOLE_POSITION_TP-008-5,2024-01-17,8,5,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1189,mm,False
SPC-MMB_HOLE_POSITION_TP-009-1,2024-01-19,9,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0748,mm,False
SPC-MMB_HOLE_POSITION_TP-009-2,2024-01-19,9,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0903,mm,False
SPC-MMB_HOLE_POSITION_TP-009-3,2024-01-19,9,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0879,mm,False
SPC-MMB_HOLE_POSITION_TP-009-4,2024-01-19,9,4,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.105,mm,False
SPC-MMB_HOLE_POSITION_TP-009-5,2024-01-19,9,5,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.1036,mm,False
SPC-MMB_HOLE_POSITION_TP-010-1,2024-01-21,10,1,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0649,mm,False
SPC-MMB_HOLE_POSITION_TP-010-2,2024-01-21,10,2,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0894,mm,False
SPC-MMB_HOLE_POSITION_TP-010-3,2024-01-21,10,3,MMB-001,MMB_HOLE_POSITION_TP,Motor Mount Hole True Position,gdandt_position,0.0,0.0,0.2,0.0033,mm,False
