ID,Area,Issue,Action,Owner,Due Date,Status,Priority,Source
NCR-0106,BCON-006,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-06 00:00:00,Verification Pending,300,NCR
NCR-0166,BCON-006,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-06 00:00:00,Verification Pending,300,NCR
NCR-0281,PROP-003,Wrong Material Cert,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-07 00:00:00,CAPA Open,300,NCR
NCR-0010,PROP-003,Wrong Material Cert,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-06 00:00:00,CAPA Open,300,NCR
NCR-0315,BCON-006,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-07 00:00:00,Verification Pending,300,NCR
NCR-0132,PROP-003,Wrong Material Cert,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-06 00:00:00,CAPA Open,300,NCR
NCR-0072,PROP-003,Wrong Material Cert,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-06 00:00:00,CAPA Open,300,NCR
NCR-0125,PROP-003,Surface Finish,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-06 00:00:00,CAPA Open,300,NCR
NCR-0065,PROP-003,Surface Finish,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-06 00:00:00,CAPA Open,300,NCR
NCR-0003,PROP-003,Surface Finish,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-06 00:00:00,CAPA Open,300,NCR
NCR-0044,BCON-006,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-06 00:00:00,Verification Pending,300,NCR
NCR-0274,PROP-003,Surface Finish,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-07 00:00:00,CAPA Open,300,NCR
1,Motor,Bearing seizure,Add bearing inspection step at motor install; specify grease type in BOM,QE-Torres,2026-07-05,In Progress,225,FMEA
NCR-0250,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0248,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0245,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0244,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0243,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0242,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0241,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0271,MMB-001,HOLE_DIAMETER,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0270,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0249,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0150,MMB-001,Insulation Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Containment Pending,200,NCR
NCR-0090,MMB-001,Insulation Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Containment Pending,200,NCR
NCR-0138,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0078,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0263,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0262,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0261,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0260,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0004,ESC-002,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0258,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0257,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0256,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0028,MMB-001,Insulation Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Containment Pending,200,NCR
NCR-0299,MMB-001,Insulation Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-12 00:00:00,Containment Pending,200,NCR
NCR-0126,ESC-002,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0066,ESC-002,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0269,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0275,ESC-002,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0259,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0252,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0251,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0222,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0221,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0220,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0219,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0217,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
